# rho       1e5ptcls      2e5ptcls      5e5ptcls     1e6ptcls
3.95000e-01 1.12630e+19 1.21850e+19 1.19080e+19 1.21600e+19
4.00000e-01 1.19360e+19 1.27910e+19 1.11260e+19 1.18570e+19
4.05000e-01 1.14940e+19 1.17480e+19 1.24590e+19 1.19350e+19
4.10000e-01 1.05030e+19 1.21050e+19 1.22530e+19 1.22280e+19
4.15000e-01 1.27530e+19 1.17660e+19 1.20940e+19 1.16370e+19
4.20000e-01 1.18650e+19 1.13630e+19 1.21300e+19 1.21250e+19
4.25000e-01 1.21910e+19 1.27740e+19 1.24510e+19 1.21040e+19
4.30000e-01 1.40810e+19 1.38030e+19 1.19230e+19 1.23270e+19
4.35000e-01 1.28770e+19 1.31820e+19 1.25510e+19 1.26580e+19
4.40000e-01 1.37570e+19 1.36760e+19 1.31180e+19 1.25560e+19
4.45000e-01 1.22840e+19 1.27470e+19 1.26510e+19 1.30660e+19
4.50000e-01 1.32170e+19 1.30450e+19 1.29170e+19 1.31380e+19
4.55000e-01 1.27550e+19 1.35510e+19 1.32580e+19 1.34360e+19
4.60000e-01 1.28190e+19 1.29470e+19 1.36980e+19 1.32330e+19
4.65000e-01 1.30870e+19 1.40220e+19 1.34870e+19 1.32840e+19
4.70000e-01 1.41840e+19 1.41260e+19 1.43610e+19 1.35300e+19
4.75000e-01 1.32820e+19 1.35350e+19 1.36440e+19 1.32610e+19
4.80000e-01 1.27090e+19 1.26120e+19 1.40530e+19 1.31960e+19
4.85000e-01 1.35730e+19 1.40140e+19 1.33240e+19 1.36210e+19
4.90000e-01 1.31690e+19 1.40750e+19 1.39360e+19 1.37410e+19
4.95000e-01 1.47220e+19 1.29770e+19 1.36380e+19 1.43090e+19
5.00000e-01 1.43200e+19 1.44100e+19 1.43980e+19 1.39950e+19
5.05000e-01 1.42840e+19 1.43720e+19 1.43030e+19 1.45020e+19
5.10000e-01 1.39390e+19 1.38020e+19 1.43750e+19 1.44420e+19
